view,agg,window,pool,n_obs,ic,t_stat,ls_spread,ls_t_stat
hs_l1,n_peers,unlock_d90,main_profitable,112,0.04012501220718189,0.42117386339340634,0.031266474329403486,0.2464200686518384
hs_l1,n_peers,unlock_d90,main_all,125,0.08052563368731216,0.895982147949786,0.027388454960361068,0.2446942490084785
hs_l3,mean,d1_close,all,191,-0.0308443298932853,-0.42424128329420063,0.019707598457268355,0.32458950631221417
hs_l3,mean,d1_close,main_profitable,113,-0.07012739100652397,-0.740661386052049,-0.012510872375279758,-0.16866250487113638
hs_l3,mean,d1_close,main_all,140,-0.012061524601199804,-0.14170113965238973,0.003460361160225092,0.05778848245614914
hs_l3,median,d1_close,all,191,0.00462241790664097,0.06354841876783394,0.013645642532682477,0.26239675771436105
hs_l3,median,d1_close,main_profitable,113,-0.04746358284441118,-0.5006240935651158,-0.015153444576782166,-0.2103196109321228
hs_l3,median,d1_close,main_all,140,0.01247572219478167,0.14656795854997018,0.004236571026593715,0.07089095908387343
hs_l3,top3_recent_mean,d1_close,all,191,0.0051122318534651545,0.0702824867353978,-0.00012265972221271737,-0.00192981606164267
hs_l3,top3_recent_mean,d1_close,main_profitable,113,-0.05397373998678438,-0.5694787338872928,-0.10398127791178986,-1.5927635444709967
hs_l3,top3_recent_mean,d1_close,main_all,140,-0.0307502725373531,-0.36140481927897256,-0.05614948648574241,-1.0062515348137635
hs_l3,n_peers,d1_close,all,191,0.08648258236030792,1.193410214955574,0.09254808658653615,1.5383076614848201
hs_l3,n_peers,d1_close,main_profitable,113,-0.006175269068376037,-0.06506173727739348,-0.023266663080860703,-0.31870349762843336
hs_l3,n_peers,d1_close,main_all,140,0.026802993826631812,0.3149770449926143,-0.002387340444953704,-0.04090064483035818
hs_l3,mean,d30,all,179,-0.04913708016718893,-0.6545169607211675,0.019636208397461496,0.20494287295031985
hs_l3,mean,d30,main_profitable,105,-0.0621586807169279,-0.632063945390562,-0.09946849975494611,-0.7067221694850347
hs_l3,mean,d30,main_all,130,-0.06500301142933312,-0.7369837936359085,-0.09256509104397935,-0.7812230126958029
hs_l3,median,d30,all,179,-0.09657774784791745,-1.2909178342320131,-0.18866365477419422,-1.8467252316719434
hs_l3,median,d30,main_profitable,105,-0.08993115413164034,-0.9164148589625901,-0.20573322704059005,-1.3817463190177912
hs_l3,median,d30,main_all,130,-0.07523235325281448,-0.8535759222502696,-0.19987867426818268,-1.6073897903057204
hs_l3,top3_recent_mean,d30,all,179,-0.17077397871371047,-2.3058727571142863,-0.3663508601009138,-2.5541589175520354
hs_l3,top3_recent_mean,d30,main_profitable,105,-0.17245910672766862,-1.7768925259547488,-0.336479490256253,-2.3710294080050907
hs_l3,top3_recent_mean,d30,main_all,130,-0.15595642462303005,-1.786302842308284,-0.3008083834769648,-2.5855295170848285
hs_l3,n_peers,d30,all,179,0.06710301913726653,0.8947643571776952,0.1714902746919615,1.100593565010303
hs_l3,n_peers,d30,main_profitable,105,0.048211538453463675,0.48986331464866845,0.038341831457106124,0.2295134923536145
hs_l3,n_peers,d30,main_all,130,-0.023608248209648717,-0.26717130267316325,0.0013034559889112812,0.010431021474802597
hs_l3,mean,m3,all,152,-0.07881836704587593,-0.9683364091396507,-0.11295231550470089,-0.7740895320143779
hs_l3,mean,m3,main_profitable,93,-0.11200406230431043,-1.0752161878473459,-0.13571535820462358,-0.5262382943011146
hs_l3,mean,m3,main_all,108,-0.12671845829711095,-1.3152489634628681,-0.13350118292693655,-0.5974659260181352
hs_l3,median,m3,all,152,-0.008654221416925695,-0.10599610235509735,-0.13563467237165341,-0.8424330380987254
hs_l3,median,m3,main_profitable,93,0.011067536575061192,0.10558403673234376,-0.08111293788955473,-0.3661666076355909
hs_l3,median,m3,main_all,108,-0.00855763817258883,-0.08810950383362069,-0.11351445535172658,-0.5815088522461463
hs_l3,top3_recent_mean,m3,all,152,0.013269977236209679,0.16253767708173067,-0.0014399506431478915,-0.007730744478478122
hs_l3,top3_recent_mean,m3,main_profitable,93,-0.06982904830404643,-0.6677566780299468,-0.032786057991880724,-0.13916120351581915
hs_l3,top3_recent_mean,m3,main_all,108,-0.08993737403746901,-0.9297297405979859,-0.05804758806197513,-0.2822982617846053
hs_l3,n_peers,m3,all,152,0.05389224947310031,0.6610031598694763,0.6304609251772616,1.8819340539646838
hs_l3,n_peers,m3,main_profitable,93,0.03063852226124615,0.2924101522984045,0.3943362930096882,1.5063286252926278
hs_l3,n_peers,m3,main_all,108,-0.008996495805200184,-0.09262834197826282,0.1715249468379099,0.8131543168128285
hs_l3,mean,m6,all,98,-0.1053538111011545,-1.03802915690132,-0.5100901124386923,-1.8457735514703246
hs_l3,mean,m6,main_profitable,62,-0.09561724276724737,-0.7440571172847771,-0.49065268514778676,-1.2794766783784732
hs_l3,mean,m6,main_all,69,-0.08487385758067718,-0.6972383074285309,-0.41745966772314475,-1.1697849511493588
hs_l3,median,m6,all,98,-0.08039331244263678,-0.7902482371223295,-0.2762324880946255,-0.9915375415996069
hs_l3,median,m6,main_profitable,62,-0.07174991865097734,-0.5572085998397381,-0.41842058275775174,-1.050092599863539
hs_l3,median,m6,main_all,69,-0.05708907349101757,-0.4680575662195506,-0.3580017156643144,-0.9480533399160966
hs_l3,top3_recent_mean,m6,all,98,-0.08648618542838009,-0.8505751589479917,-0.34181195475688475,-1.1584421125452509
hs_l3,top3_recent_mean,m6,main_profitable,62,-0.13497274558738975,-1.0551497383609239,-0.3982176234774521,-1.2007986807317057
hs_l3,top3_recent_mean,m6,main_all,69,-0.12815148349606123,-1.0576861402725313,-0.5711595148933885,-1.6276473507082152
hs_l3,n_peers,m6,all,98,0.1121444703617419,1.1057621634804133,0.49772379552402723,1.6316663781423233
hs_l3,n_peers,m6,main_profitable,62,0.11274112019449921,0.8788924322237303,0.27275485216487744,0.9507434523023817
hs_l3,n_peers,m6,main_all,69,0.08637449308452391,0.7096578724286031,-0.007691377919600839,-0.05121669315335796
hs_l3,mean,m12,all,48,-0.14038052054950692,-0.9616294275977428,-0.04843686206082751,-0.13010450229562967
hs_l3,mean,m12,main_profitable,32,-0.2711869854257711,-1.543180376881681,0.27002610399692073,0.5202777766992328
hs_l3,mean,m12,main_all,33,-0.24469247328617677,-1.4051041603951209,0.27002610399692073,0.5202777766992328
hs_l3,median,m12,all,48,-0.36951075441366615,-2.697021655591717,-0.5537430505476013,-1.301724626054947
hs_l3,median,m12,main_profitable,32,-0.6203273974417349,-4.331871574046759,-0.7424611578059919,-1.2057587158303693
hs_l3,median,m12,main_all,33,-0.5720459035756773,-3.8831174033537956,-0.7424611578059919,-1.2057587158303693
hs_l3,top3_recent_mean,m12,all,48,-0.13328783975998654,-0.9121408076397379,-0.08392557592330194,-0.23300210911259375
hs_l3,top3_recent_mean,m12,main_profitable,32,-0.19402297315687864,-1.0832934313249372,0.14133866730352834,0.27884303401271787
hs_l3,top3_recent_mean,m12,main_all,33,-0.1787877325530214,-1.0117496096597776,0.14133866730352834,0.27884303401271787
hs_l3,n_peers,m12,all,48,0.09094514730169823,0.6193867981362959,-0.1769210220699521,-0.5387231205890733
hs_l3,n_peers,m12,main_profitable,32,0.09801231895723511,0.5394328404808698,-0.32379485477824105,-0.841682486578583
hs_l3,n_peers,m12,main_all,33,0.13489923119297123,0.758015910822405,-0.32379485477824105,-0.841682486578583
