p05493_f001,p05493_f002,p05493_f003,p05493_f004,p05493_f005,p05493_f006,p05493_f007,p05493_f008,p05493_f009,p05493_f010,p05493_f011,p05493_f012,p05493_f013,p05493_f014,p05493_f015,p05493_f016,p05493_f017,p05493_f018,p05493_f019,p05493_f020,p05493_f021,p05493_f022,p05493_f023,p05493_f024,p05493_f025,p05493_f026,p05493_f027,p05493_f028,p05493_f029,p05493_f030,p05493_f031,jydm_mc
8087.HK,中国三三传媒,配售,实施终止,2022/05/06,2022/05/27,--,--,--,--,--,用于升级预付卡业务的云系统及集团之一般营运资金。,HKD,"董事会宣布,由于配售协议之先决条件未能于2022年5月27日之前获达成,配售协议已告失效,且配售事项不会继续进行。根据配售协议,配售代理及公司据此之所有义务及责任将会终止及终结,而任何一方概不得向另一方提出任何申索。",支付服务,特殊消费者服务,136546,9,--,--,中国保盛证券有限公司,--,--,--,--,--,--,--,--,--,--,中国三三传媒
8019.HK,皓文控股,配售,实施完成,2022/05/05,2022/05/23,51500000.0000,19.994405,0.2200,11330000.0000,11050000.0000,"公司拟将有关所得款项净额用作偿还本金额为15,000,000港元之债券(于二零二二年七月到期)。",HKD,--,信贷,消费信贷,136543,9,--,280000.0000,新确证券有限公司,--,--,--,--,--,--,--,--,--,--,皓文控股
8069.HK,飞道旅游科技,配售,实施完成,2022/05/05,2022/05/24,80000000.0000,11.754421,0.2810,22480000.0000,21900000.0000,"(i)约13.0百万港元用于薪金付款,包括预期于旅游限制放宽后增聘员工的员工成本;(ii)约2.4百万港元用于集团旅行及观光业务的广告及营销开支,预期于2019年冠状病毒疫情补贴及外游旅行团恢复时增加;(iii)约3.5百万港元用于租金开支;及(iv)约3.0百万港元用于其他一般企业用途,包括法律及专业费用。",HKD,--,旅游及观光,酒店、度假村与豪华游轮,136544,9,--,580000.0000,力高证券有限公司,--,--,--,--,--,--,--,--,--,--,飞道旅游科技
0572.HK,未来世界控股,配售,实施完成,2022/05/04,2022/05/19,46600000.0000,18.354334,0.9000,41940411.0000,39845667.0000,用于(i)开展集团之证券经纪业务及相关孖展融资业务;及(ii)集团之一般营运资金。,HKD,--,地产投资,酒店、度假村与豪华游轮,136550,9,--,2094744.0000,--,--,--,--,--,--,--,--,--,--,--,未来世界控股
1059.HK,看通集团,配售,实施完成,2022/05/03,2022/05/24,43404000.0000,13.888013,0.2780,12066312.0000,11500000.0000,增加公司的营运资金并提高其财务能力及灵活性以供其业务发展。,HKD,--,应用软件,系统软件,136542,9,--,566312.0000,"大湾区深港证券有限公司,金利丰证券有限公司",--,--,--,--,--,--,--,--,--,--,看通集团
0998.HK,中信银行,供股,实施终止,2022/04/29,--,--,--,--,--,--,本次供股募集的资金在扣除相关发行费用后将全部用于补充本行的核心一级资本。,HKD,每10股供3股,银行,综合性银行,24490,8,--,--,--,--,--,--,--,--,--,--,--,--,--,中信银行
8659.HK,易和国际控股,代价发行,实施完成,2022/04/29,2022/06/01,74000000.0000,10.97137,0.2500,18500000.0000,--,向优拼汇投资控股有限公司收购全部已发行股本。,HKD,--,印刷及包装,金属、玻璃和塑料容器,131935,10,--,--,--,--,--,--,--,--,--,--,--,--,--,易和国际控股
8056.HK,生活概念,供股,实施完成,2022/04/28,2022/10/31,1088040908.0000,134.2845921629,0.0400,43521636.0000,41100000.0000,"公司拟将供股所得款项净额用作一般公司及营运资金用途,包括但不限于清偿贸易及其他应付款项、员工薪金、租金开支及与集团餐饮业务有关的其他债务。",HKD,每2股供3股,餐饮,餐馆,24489,8,2022/11/02,2421636.0000,--,浤博资本有限公司,--,--,--,--,--,--,--,--,--,生活概念
8179.HK,百利达集团控股,供股,实施完成,2022/04/28,2022/07/05,293288167.0000,20.4657465289,0.1000,29300000.0000,25900000.0000,所得款项计划用途仅用作拓展香港葡萄酒贸易业务的营运资金。,HKD,每2股供1股,酒精饮料,酿酒商与葡萄酒商,24488,8,2022/07/07,3400000.0000,--,RaffAello Securities (HK) Limited,--,--,--,--,--,--,--,--,--,百利达集团控股
1225.HK,隆成金融,配售,实施终止,2022/04/26,2022/05/19,--,--,--,--,--,公司拟将有关所得款项净额用于升级及翻新集团现有物业、厂房。,HKD,"董事会宣布,由于配售协议之先决条件未能在二零二二年五月十九日之前获达成,配售协议已告失效,配售事项不会继续进行。根据配售协议,配售代理及公司据此之所有义务及责任将会终止及终结,而任何一方概不得向另一方提出任何申索。",信贷,投资银行业与经纪业,136539,9,--,--,中国保盛证券有限公司,--,--,--,--,--,--,--,--,--,--,隆成金融
0515.HK,中华银科技,配售,实施完成,2022/04/25,2022/05/12,271840000.0000,23.986622,0.1000,27200000.0000,27000000.0000,"公司拟将认购事项所得款项净额中的23百万港元用于厂房的建设成本及偿还集团到期时的债务及负债,及4百万港元用作集团的营运资金(例如薪金、租金付款、专业费用及办公室开支)。",HKD,--,工业零件及器材,电子元件,136537,9,--,200000.0000,--,--,--,--,--,--,--,--,--,--,--,中华银科技
1647.HK,雄岸科技,配售,实施完成,2022/04/25,2022/05/30,100000000.0000,9.132086,0.1438,14380000.0000,14300000.0000,"1.其中6,000,000港元用作扩充集团区块链技术之开发及应用业务范围,包括但不限于使用虚拟现实及区块链技术之数字艺术博物馆平台的系统开发、营销及推广;2.其中2,300,000港元用作发展新金融服务业务,当中包括资产管理以及其他金融服务;及3.其中6,000,000港元用作一般营运资金,拨付集团位于香港的总办事处之营运成本。",HKD,--,楼宇建造,建筑与工程,136538,9,--,80000.0000,--,--,--,--,--,--,--,--,--,--,--,雄岸科技
8545.HK,佰悦集团,代价发行,实施完成,2022/04/25,2022/05/05,192307692.0000,19.230769,0.0520,10000000.0000,--,向DongYiQuan Network Technology Co. Ltd收购已发行股本的30%。,HKD,--,玩具及消闲用品,休闲用品,131932,10,--,--,--,--,--,--,--,--,--,创富融资有限公司,--,--,--,佰悦集团
1247.HK,米格国际控股,配售,实施完成,2022/04/22,2022/05/12,23616000.0000,12.607707,0.5800,13697280.0000,13500000.0000,预期所得款项净额将用于集团的一般营运资金。,HKD,--,服装,服装、服饰与奢侈品,136534,9,--,197280.0000,华富建业证券有限公司,--,--,--,--,--,--,--,--,--,--,米格国际控股
1495.HK,集一控股,配售,实施完成,2022/04/22,2022/04/28,56000000.0000,4.674521,0.7600,42560000.0000,42000000.0000,预期约42百万港元(相当于配售事项之全部所得款项净额)将用于新投资机会的资本投资。,HKD,--,--,--,136533,9,--,560000.0000,元库证券有限公司,--,--,--,--,--,--,--,--,--,--,集一控股
1782.HK,国际商业数字技术,供股,实施完成,2022/04/21,2022/06/17,254000000.0000,50.0,0.5500,139700000.0000,138000000.0000,"假设供股所得款项净额为约137.0百万港元,公司拟将供股所得款项净额(i)约117.7百万港元用作投资及升级大数据以及人工智能分析技术,通过增强产品功能,以满足不同行业的市场需求,从而扩大其现有的APM业务;及(ii)约19.3百万港元用作一般企业及营运资金用途。倘供股认购不足,供股所得款项净额将按照上述用途的比例使用。",HKD,每2股获发1股,应用软件,应用软件,24487,8,2022/06/21,1700000.0000,--,伟禄亚太证券有限公司,--,--,--,--,--,--,--,--,--,国际商业数字技术
1866.HK,中国心连心化肥,配售,实施完成,2022/04/20,2022/04/28,56500000.0000,--,6.5000,367250000.0000,359340000.0000,(1)透过去杠杆化及调整集团的债务结构来加强集团的财务状况;及(2)支持集团长远的发展策略(包括但不限于任何潜在并购)。,HKD,Go Power Investments Limited占比由23.60%变为20.72%。,化肥及农用化合物,化肥与农用药剂,136530,9,--,7910000.0000,"中信里昂证券有限公司,国投证券(香港)有限公司",--,--,--,--,--,--,--,--,--,--,中国心连心化肥
1323.HK,华盛国际控股,配售,实施完成,2022/04/19,2022/04/29,699000000.0000,92.502562,0.1050,73400000.0000,71200000.0000,配售事项所得款项净额拟用于集团一般营运资金用途及发展及扩张集团业务。,HKD,--,建筑材料,建筑材料,136526,9,--,2200000.0000,凯基证券亚洲有限公司,--,--,--,--,--,--,--,--,--,--,华盛国际控股
8275.HK,中国新消费集团,配售,实施完成,2022/04/19,2022/04/29,39479225.0000,4.838211,0.5500,21712574.0000,21712574.0000,(i)用于偿还承兑票据的本金及应计利息;(ii)用于购置新办公物业及相关装修费用;(iii)用于增聘全职员工;(iv)用于发展业务及营销开支;及(v)一般营运资金。,HKD,--,楼宇建造,建筑与工程,136549,9,--,0.0000,国投证券有限公司,--,--,--,--,--,--,--,--,--,--,中国新消费集团
0030.HK,云白国际,配售,实施完成,2022/04/14,2022/06/06,351762000.0000,5.173036,0.2850,100252170.0000,99800000.0000,公司拟将来自认购事项的所得款项净额用于整合资源、市场开发及于中国及东盟进行工业大麻、中草药、保健食品贸易以及用作集团的一般营运资金。,HKD,--,膳食补充品,食品零售,136523,9,--,452170.0000,--,--,--,--,--,--,--,--,--,--,--,云白国际
1400.HK,满地科技股份,配售,实施完成,2022/04/13,2022/05/11,10455107.0000,0.290277,0.2400,2510000.0000,2420000.0000,"认购事项乃公司为筹集资本,同时扩大股东基础而进行。认购事项的所得款项净额约2.42百万港元将用于集团债务重组成本及一般营运资金。",HKD,--,服装,服装零售,136521,9,--,90000.0000,--,--,--,--,--,--,--,--,--,--,--,满地科技股份
1951.HK,锦欣生殖,配售,实施完成,2022/04/13,2022/07/18,15000000.0000,0.595982,6.5000,97500000.0000,96317000.0000,公司拟在2023年12月前将所得款项净额用于对深圳中山医院进行扩建及升级。,HKD,曾勇股份占比由0.3%增加为0.9%。,生物技术,保健护理机构,136522,9,--,1183000.0000,--,--,--,--,--,--,--,--,--,--,--,锦欣生殖
1566.HK,华夏文化科技,供股,实施终止,2022/04/12,--,--,--,0.1430,--,--,"(i)约75%(即约59.49百万港元(或61.79百万港元(假设除因悉数行使尚未行使的购股权所致者外,已发行股份数目于记录日期或之前并无变动))以清偿集团的债务;(ii)约10%(即约7.93百万港元(或8.24百万港元(假设除因悉数行使尚未行使的购股权所致者外,已发行股份数目于记录日期或之前并无变动))以清偿专业人士的未偿还费用;及(iii)约15%(即约11.90百万港元(或12.36百万港元(假设除因悉数行使尚未行使的购股权所致者外,已发行股份数目于记录日期或之前并无变动))作为集团的一般营运资金,包括但不限于租金及其员工的日常营运开支,以及集团的研发开支。",HKD,每持有2股现有股份获发1股供股股份,消闲及文娱设施,休闲设施,24486,8,--,--,--,Raffaello Securities (HK) Ltd.,--,--,--,--,--,--,--,--,--,华夏文化科技
8133.HK,吉盛集团控股,配售,实施完成,2022/04/08,2022/04/27,20800000.0000,9.320667,0.1300,2704000.0000,2600000.0000,(i)约76.92%用作偿还集团之其他借贷;及(ii)约23.08%用作集团日后尚待识别之潜在投资。每股配售股份筹集之净价格将约为0.125港元。,HKD,--,工业零件及器材,工业机械和用品及零部件,136519,9,--,104000.0000,--,--,--,--,--,--,--,--,--,--,--,吉盛集团控股
0503.HK,朗生医药,配售,实施完成,2022/04/07,2022/04/20,49520000.0000,13.124347,1.2000,59420000.0000,59150000.0000,"公司拟将配售股份所得款项净额用作(i)潜在的未来并购或项目;及(ii)补充营运资金及一般企业用途,以支持公司策略。",HKD,--,--,--,136518,9,--,270000.0000,--,--,--,--,--,--,--,--,--,--,--,朗生医药
0204.HK,资本界金控,代价发行,实施完成,2022/04/06,2023/01/17,360000000.0000,41.628617,0.1000,36000000.0000,--,向郑红萍收购兰州我乐家居服务有限公司的30%的股份。,HKD,--,投资及资产管理,资产管理与托管银行,131930,10,--,--,--,--,--,--,--,--,--,--,--,--,--,资本界金控
0204.HK,资本界金控,代价发行,实施完成,2022/04/06,2023/01/17,290720000.0000,33.617421,0.1000,29072000.0000,--,向Tider Holdings Limited收购家家富现代农业(香港)有限公司的7%的股权。,HKD,"代价40百万港元将按以下方式向家家富卖方支付(a)于家家富协议日期前以现金支付10,928,000港元;及(b)于完成时透过向家家富卖方配发及发行290,720,000股新股份支付29,072,000港元。",投资及资产管理,资产管理与托管银行,131931,10,--,--,--,--,--,--,--,--,--,--,--,--,--,资本界金控
0150.HK,HYPEBEAST,配售,实施终止,2022/04/04,2022/12/29,--,--,--,--,--,"用于(1)资讯科技及系统投资,(2)增强公司全渠道营销,(3)开发及丰富公司数码及编辑内容,(4)发展公司区域中心,(5)扩展其创意代理制作能力,(6)发展实体零售店及媒体活动场所,以及(7)一般营运资金用途。",HKD,"PIPE股份认购协议及获允许股权认购协议将于合并协议终止时予以终止。因此,由于终止合并协议,PIPE股份认购协议及获允许股权认购协议亦自动即时终止。由于终止合并协议,该等交易(包括合并事项、私人配售、额外私人配售、红股发行及股份合并)将不会进行,且不会向股东寄发通函。",广告及宣传,广告,136750,9,--,--,--,--,--,--,--,--,--,--,--,--,--,HYPEBEAST
0948.HK,阿尔法企业,配售,实施完成,2022/03/31,2022/05/10,34920000.0000,9.255716,1.4000,48900000.0000,47800000.0000,"(i)于二零二二年六月底,所得款项净额中约47.3百万港元将用于购买奶类产品业务的存货;及(ii)所得款项净额中约0.5百万港元将用作集团的一般营运资金,包括支付额外增聘奶类产品业务的员工之薪酬。",HKD,--,乳制品,包装食品与肉类,136515,9,--,1100000.0000,万基证券有限公司,--,--,--,--,--,--,--,--,--,--,阿尔法企业
8431.HK,浩柏国际,代价发行,实施完成,2022/03/31,2022/04/11,260000000.0000,88.734173,0.0308,8008000.0000,--,向宋成雷收购City Key Group Limited全部已发行股份。,HKD,"(i)于签署买卖协议后14日内以现金向卖方支付992,000港元作为按金;及(ii)于完成后21日内透过根据一般授权按每股代价股份0.0308港元的发行价向卖方或其代理人配发及发行代价股份的形式支付8.008百万港元。",消闲及文娱设施,建筑与工程,131929,10,--,--,--,--,--,--,--,--,--,--,--,--,--,浩柏国际
0616.HK,财富链,配售,实施完成,2022/03/30,2022/04/20,186280000.0000,10.635793,0.1000,18628000.0000,18380000.0000,将用作集团的一般营运资金。,HKD,--,地产投资,房地产经营公司,136514,9,--,248000.0000,金利丰证券有限公司,--,--,--,--,--,--,--,--,--,--,财富链
1908.HK,建发国际集团,代价发行,实施完成,2022/03/29,2022/05/23,80000000.0000,5.806273,14.4500,1156000000.0000,--,"向益能国际有限公司收购467,691,388股建发物业股份。",HKD,"代价为1,641,596,771.88港元,其中1,156百万港元将透过根据特别授权按发行价配发及发行代价股份的方式支付,而余下代价将由公司以现金支付。",地产发展商,房地产开发,131928,10,--,--,--,--,--,--,--,--,--,--,--,--,--,建发国际集团
1676.HK,高地股份,配售,实施完成,2022/03/28,2022/04/14,12000000.0000,4.643408,1.5000,18000000.0000,17400000.0000,用作集团的一般营运资金。,HKD,--,包装食品,农产品与服务,136510,9,--,600000.0000,--,--,--,--,--,--,--,--,--,--,--,高地股份
2221.HK,创业集团控股,配售,实施完成,2022/03/28,2022/04/21,185748000.0000,95.224516,0.4000,74299200.0000,74200000.0000,"(i)约32,920,000港元拟用作集团近期取得的敦化市餐厨垃圾处理项目的初步投资成本;(ii)约39,000,000港元拟用作潜在餐厨垃圾处理及其他环保有关项目的初步投资成本;及(iii)约2,280,000港元拟用作集团的一般营运资金。",HKD,--,重型基建,建筑与工程,136511,9,--,99200.0000,--,--,--,--,--,--,--,--,--,--,--,创业集团控股
3868.HK,信义能源,配售,实施完成,2022/03/28,2022/04/07,188400000.0000,2.64979,4.1400,780000000.0000,779500000.0000,公司及其附属公司的一般营运资金。,HKD,--,非传统/可再生能源,新能源发电业者,136509,9,--,500000.0000,--,--,--,--,--,--,--,--,--,--,--,信义能源
1850.HK,鸿盛昌资源,配售,实施完成,2022/03/27,2022/04/22,160000000.0000,92.592593,0.1850,29600000.0000,29200000.0000,9.0百万港元用于于香港开拓及发展工程业务(不包括消防装置);8.0百万港元用于开发及提升现有消防装置分部;3.0百万港元用于于香港及中国内地开拓机电产品及配件贸易业务;9.2百万港元用于一般营运资金。,HKD,--,楼宇建造,安全和报警服务,136508,9,--,400000.0000,港利资本有限公司,--,--,--,--,--,--,--,--,--,--,鸿盛昌资源
2618.HK,京东物流,配售,实施完成,2022/03/25,2022/04/01,150500000.0000,2.433786,20.7100,3116855000.0000,3102000000.0000,"公司拟利用通过配售事项和认购事项获得的估计募集资金净额来提高集团的物流网络和解决方案,包括自身及╱或通过收购,并增加一般公司用途的现金储备。",HKD,--,采购及供应链管理,航空货运与物流,136502,9,--,14855000.0000,"瑞士银行香港分行,Merrill Lynch (Asia Pacific) Limited,高盛(亚洲)有限责任公司,海通国际证券有限公司",--,--,--,--,--,--,--,--,--,--,京东物流
2618.HK,京东物流,配售,实施完成,2022/03/25,2022/05/26,261400000.0000,4.227187,20.7100,5413594000.0000,5413594000.0000,"公司拟利用通过配售事项和认购事项获得的估计募集资金净额来提高集团的物流网络和解决方案,包括自身及╱或通过收购,并增加一般公司用途的现金储备。",HKD,认购完成后，Jingdong Technology Group Corporation的权益将从61.95%增加至63.46%。,采购及供应链管理,航空货运与物流,136503,9,--,0.0000,"瑞士银行香港分行,Merrill Lynch (Asia Pacific) Limited,高盛(亚洲)有限责任公司,海通国际证券有限公司",--,--,--,--,--,--,--,--,--,--,京东物流
8218.HK,毅高国际控股,配售,实施完成,2022/03/25,2022/06/28,97188000.0000,16.337958,0.1300,12630000.0000,11880000.0000,公司拟将发行配售认股权证股份之所得款项净额用作偿还利息及用作集团之一般营运资金。,HKD,--,工业零件及器材,消费电子产品,136506,9,--,750000.0000,蓝山证券有限公司,--,--,--,--,--,--,--,--,--,--,毅高国际控股
8403.HK,德丰宿来,配售,实施完成,2022/03/25,2022/04/08,20000000.0000,12.987013,0.5500,11000000.0000,10559000.0000,(i)所得款项净额约50%将用于加强广告相关服务分部;(ii)所得款项净额约30%将用于加强展厅相关服务分部;及(iii)所得款项净额约20%将用于集团一般营运资金。,HKD,--,广告及宣传,特殊消费者服务,136504,9,--,441000.0000,华富建业证券有限公司,--,--,--,--,--,--,--,--,--,--,德丰宿来
0381.HK,权识国际,供股,实施完成,2022/03/23,2022/08/15,691115793.0000,59.9999998437,0.2050,141680000.0000,139810000.0000,公司拟利用建议供股的全部所得款项净额偿还上文所述集团的短期负债。,HKD,每1股经调整股份获发3股,玩具及消闲用品,休闲用品,24679,8,2022/08/17,1870000.0000,--,--,--,--,--,--,--,--,--,--,--,权识国际
1083.HK,港华智慧能源,配售,实施完成,2022/03/18,2022/07/19,4295000.0000,0.135922,3.6900,15848550.0000,15848550.0000,公司拟将股份发行的所得款项净额用作其一般营运资金用途。,HKD,--,燃气供应,燃气公用事业,136757,9,--,0.0000,--,--,--,--,--,--,--,--,--,--,--,港华智慧能源
1083.HK,港华智慧能源,配售,实施完成,2022/03/18,2022/07/19,1107000.0000,0.035033,3.6900,4084830.0000,4084830.0000,公司拟将股份发行的所得款项净额用作其一般营运资金用途。,HKD,--,燃气供应,燃气公用事业,136756,9,--,0.0000,--,--,--,--,--,--,--,--,--,--,--,港华智慧能源
1083.HK,港华智慧能源,配售,实施完成,2022/03/18,2022/06/17,3017000.0000,0.095478,3.6900,11132730.0000,11132730.0000,公司拟将股份发行的所得款项净额用作其一般营运资金用途。,HKD,--,燃气供应,燃气公用事业,136500,9,--,0.0000,--,--,--,--,--,--,--,--,--,--,--,港华智慧能源
1083.HK,港华智慧能源,配售,实施完成,2022/03/18,2022/06/17,1784000.0000,0.056458,3.6900,6582960.0000,6582960.0000,公司拟将股份发行的所得款项净额用作其一般营运资金用途。,HKD,--,燃气供应,燃气公用事业,136499,9,--,0.0000,--,--,--,--,--,--,--,--,--,--,--,港华智慧能源
1083.HK,港华智慧能源,配售,实施完成,2022/03/18,2022/08/01,1350000.0000,0.042723,3.6900,4981500.0000,4981500.0000,公司拟将股份发行的所得款项净额用作其一般营运资金用途。,HKD,--,燃气供应,燃气公用事业,136758,9,--,0.0000,--,--,--,--,--,--,--,--,--,--,--,港华智慧能源
1160.HK,金石资本集团,配售,实施完成,2022/03/17,2022/03/28,62500000.0000,26.34116,0.6800,42500000.0000,40619213.0000,"(i)约5,100,000港元用作悉数偿还持牌放债人的贷款及相关利息;(ii)约41,642,000港元根据公司投资目标用于未来投资及业务发展;及(iii)约9,410,000港元用作公司的一般营运资金。",HKD,--,投资及资产管理,多领域控股,136749,9,--,1880787.0000,--,--,--,--,--,--,--,--,--,--,--,金石资本集团
1182.HK,胜龙国际,供股,实施完成,2022/03/15,2022/06/24,209711740.0000,149.9999996424,0.3400,71300000.0000,66500000.0000,集团拟将所得款项净额用于在中国河南省栾川县兴建一座新厂房以开展黄金加工业务。,HKD,每2股供3股,黄金及贵金属,多种金属与采矿,24484,8,2022/06/28,4800000.0000,一盈证券有限公司,--,--,--,--,--,--,--,--,--,--,胜龙国际
1250.HK,山高新能源,配售,实施完成,2022/03/15,2022/05/20,48804039247.0000,76.826028,0.0960,4685187768.0000,4677000000.0000,"认购事项所得款项净额亦将用于偿还北控清洁能源集团的短期债务,尤其是银团贷款项下的3,000百万港元债务。",HKD,--,非传统/可再生能源,新能源发电业者,136497,9,--,8187768.0000,--,--,--,--,--,--,--,--,--,--,--,山高新能源
1822.HK,中木国际,配售,实施完成,2022/03/10,2023/07/11,2260980856.0000,274.911785,0.0440,99483157.0000,99483157.0000,将首先用于偿还融资协议项下提取的款项及其应计利息和将用于分派计划项下的现金红利及余额预期将用于重组的相关成本、一般运营资金及集团木材业务的业务发展。,HKD,--,林业及木材,贸易公司与经销商,136496,9,--,0.0000,--,--,--,--,--,--,--,--,--,--,--,中木国际
8045.HK,南大苏富特,配售,预案,2022/03/08,--,--,--,--,--,--,(i)约80%将用于偿还集团的贷款及债务;及(ii)约20%用作集团营运资金的储备金。,HKD,--,--,--,136495,9,--,--,粤商国际证券有限公司,--,--,--,--,--,--,--,--,--,--,南大苏富特
1495.HK,集一控股,配售,实施完成,2022/03/04,2022/03/15,48000000.0000,4.006733,0.9000,43200000.0000,42600000.0000,"(i)约20,000,000港元用于偿还贸易及票据应付款项;(ii)约20,000,000港元用于偿还其他借贷;及(iii)余下约2,600,000港元用作集团之一般营运资金。",HKD,--,--,--,136492,9,--,600000.0000,元库证券有限公司,--,--,--,--,--,--,--,--,--,--,集一控股
2708.HK,艾伯科技,配售,实施终止,2022/03/03,2022/03/25,--,--,--,--,--,"(i)约50%用于中国信息技术应用创新行业(包括终端产品及行业解决方案)的研发、生产、推广及营销;(ii)约40%用于5G产品及系统,如购买原材料、研发及营销;及(iii)约10%用作集团一般营运资金。",HKD,"鉴于市场状况,于2022年3月25日(交易时段后),公司与配售代理就终止配售事项订立终止协议(‘终止协议’)。",--,--,136491,9,--,--,汇盈证券有限公司,--,--,--,--,--,--,--,--,--,--,艾伯科技
8166.HK,中国农业生态,供股,实施完成,2022/03/03,2022/05/18,24046488.0000,22.6949486587,0.1600,3850000.0000,3060000.0000,"约(i)24%(约2,000,000港元)所得款项净额用于支付未偿付利息开支;(ii)24%(约2,000,000港元)所得款项净额用于支付未偿付负债;及(iii)余下52%(约4,200,000港元)所得款项净额用于集团的一般营运资金及业务扩张。倘供股认购不足,供股所得款项净额将按比例作上述用途。",HKD,每2股可获发1股供股股份,--,--,24483,8,2022/05/20,790000.0000,--,汇盈证券有限公司,--,--,--,--,--,--,--,--,--,中国农业生态
1115.HK,5100藏冰川,供股,实施完成,2022/03/02,2023/01/27,557798129.0000,21.4579584942,0.3850,214752279.0000,173700000.0000,若供股之认购水平(与配售事项(如有)合并计算)50%以下，85%用于偿还集团须于二零二三年偿还的外部债务，15%用于集团一般营运资金。若供股之认购水平(与配售事项(如有)合并计算)50%以上，70%用于偿还集团须于二零二三年偿还的外部债务，30%用于集团一般营运资金。,HKD,每持有3股获发1股供股股份,酒精饮料,软饮料与不含酒精饮料,24529,8,2023/01/31,41052279.0000,软库中华金融服务有限公司,--,--,--,--,--,--,--,--,--,--,5100藏冰川
1901.HK,飞扬集团,供股,实施完成,2022/03/02,2022/04/21,200000000.0000,33.3333333333,0.5000,100000000.0000,95900000.0000,"(i)约48.2百万港元(所得款项净额约50%)用于偿还集团之贸易应付款项及银行借款;(ii)约38.5百万港元(所得款项净额约40%)用于发展旅游相关业务,包括营运及二次开发旅游景点,向中国高校提供旅游服务及向政府机关职工提供与疗休养有关的服务(包括旅游服务);及(iii)约9.6百万港元(所得款项净额约10%)用于一般企业及营运资金用途。",HKD,每持有3股获发1股供股股份,旅游及观光,酒店、度假村与豪华游轮,24482,8,2022/04/25,4100000.0000,--,元库证券有限公司,--,--,--,--,--,--,--,--,--,飞扬集团
1270.HK,朗廷-SS,代价发行,实施完成,2022/03/01,2022/03/02,14846574.0000,0.431068,0.8790,13050000.0000,--,"向LHILAssets发行14,846,574个新股份合订单位,以支付截至2021年12月31日止六个月期间应付予酒店管理人的酒店管理费用及许可费。",HKD,--,酒店及度假村,酒店、度假村与豪华游轮,131926,10,--,--,--,--,--,--,--,--,--,--,--,--,--,朗廷-SS
8297.HK,海纳星空科技,配售,实施完成,2022/03/01,2022/03/28,102000000.0000,9.460677,0.1300,13260000.0000,13050000.0000,公司拟将全数所得款项净额用作公司之一般营运资金。,HKD,--,服装,服装、服饰与奢侈品,136489,9,--,210000.0000,华盛资本证券有限公司,--,--,--,--,--,--,--,--,--,--,海纳星空科技
8612.HK,维亮控股,配售,实施完成,2022/03/01,2022/03/21,44000000.0000,10.609568,0.0900,3960000.0000,3800000.0000,所得款项净额将应用于偿还银行融资。,HKD,--,重型机械,贸易公司与经销商,136488,9,--,160000.0000,金杏资本(香港)有限公司,--,--,--,--,--,--,--,--,--,--,维亮控股
1673.HK,华章科技,配售,实施完成,2022/02/28,2022/03/11,177348000.0000,11.111097,0.5300,93994440.0000,92300000.0000,"公司拟将该等所得款项净额用作赎回债券；及79,800,000 港元拨作公司一般营运资金。",HKD,--,工业零件及器材,工业机械和用品及零部件,136486,9,--,1694440.0000,First Fidelity Capital (International) Limited,--,--,--,--,--,--,--,--,--,--,华章科技
8287.HK,元宇宙云科,供股,实施完成,2022/02/28,2022/09/29,173474234.0000,26.2839748485,0.0700,12143196.0000,11302550.0000,(i)用于偿还集团部分流动债务及贷款;及(ii)用作集团一般营运资金。,HKD,每持有2股股份获发1股供股股份,--,--,24481,8,2022/10/03,840646.0000,新确证券有限公司,--,--,--,--,--,--,--,--,--,--,元宇宙云科
1575.HK,皇庭智家,配售,实施完成,2022/02/25,2022/03/23,200000000.0000,6.060606,0.1200,24000000.0000,23710000.0000,用作偿还债务及补足集团的一般营运资金。,HKD,--,家具,家庭装饰品,136484,9,--,290000.0000,元库证券有限公司,--,--,--,--,--,--,--,--,--,--,皇庭智家
1783.HK,晋景新能,代价发行,实施完成,2022/02/25,2022/04/29,90000000.0000,6.525063,0.2810,25290000.0000,--,向Chun Yip International Investment Limited收购晋扬国际(香港)有限公司已发行股本的40%。,HKD,--,楼宇建造,建筑与工程,131925,10,--,--,--,--,--,--,--,--,--,建泉融资有限公司,--,--,--,晋景新能
1783.HK,晋景新能,代价发行,实施完成,2022/02/25,2022/04/29,42000000.0000,3.04503,0.2810,11802000.0000,--,向李民强先生收购基石能源有限公司已发行股本的95%。,HKD,--,楼宇建造,建筑与工程,131924,10,--,--,--,--,--,--,--,--,--,建泉融资有限公司,--,--,--,晋景新能
0080.HK,CAI控股,配售,实施完成,2022/02/24,2022/02/24,81052476.0000,6.252494,0.1800,14593321.0000,13880537.0000,"建议供股之所得款项净额约15%(约11,100,000港元)拟主要用作公司于香港未来12个月之一般营运资金。
公司将会将所得款项用于其他投资;而余下15%(约11,100,000港元)拟用作公司一般营运资金。",HKD,--,投资及资产管理,资产管理与托管银行,136482,9,--,712784.0000,--,--,--,--,--,--,--,--,--,--,--,CAI控股
