stock_code,company_name,delisting_date,delisting_reason,is_acquired
0150.HK,HYPEBEAST,2019/03/08,转板,0
0873_2.HK,中国泰丰床品,2019/02/21,被取消上市地位,0
1827.HK,卓珈控股,2019/02/18,转板,0
3777.HK,中国光纤,2019/02/14,被取消上市地位,0
1850.HK,鸿盛昌资源,2019/02/14,转板,0
3355_1.HK,先进半导体,2019/01/25,私有化,1
0368_2.HK,中外运航运,2019/01/16,私有化,1
1841.HK,优越集团控股,2019/01/11,转板,0
6058.HK,兴证国际,2019/01/03,转板,0
1149.HK,中国安芯,2018/12/20,被取消上市地位,0
1782.HK,国际商业数字技术,2018/11/29,转板,0
0044.HK,香港飞机工程,2018/11/29,私有化,1
1187_1.HK,汉唐国际控股,2018/10/22,被取消上市地位,0
1736.HK,中国育儿网络,2018/10/08,转板,0
1869.HK,猫屎咖啡控股,2018/09/05,转板,0
0589_1.HK,宝国国际,2018/08/24,私有化,1
0761.HK,百营环球资源,2018/08/24,被取消上市地位,0
2468.HK,创益太阳能,2018/08/23,被取消上市地位,0
0847.HK,哈萨克矿业－S,2018/08/01,私有化,1
1751.HK,智算能建,2018/06/12,转板,0
3613.HK,同仁堂国药,2018/05/29,转板,0
1893.HK,中材股份,2018/04/24,私有化,1
3997.HK,电讯首科,2018/03/27,转板,0
0382_1.HK,威灵控股,2018/02/20,私有化,1
1690.HK,立基工程控股,2018/02/12,转板,0
1659.HK,海天能源,2018/02/05,转板,0
0805_1.HK,Glencore-S,2018/01/31,私有化,1
1719.HK,中国通商集团,2018/01/29,转板,0
1686.HK,新意网集团,2018/01/22,转板,0
6877.HK,TE HEALTHCARE,2017/12/15,转板,0
3868_1.HK,群星纸业,2017/11/30,被取消上市地位,0
1136.HK,台泥国际集团,2017/11/20,私有化,1
6083.HK,环宇物流(亚洲),2017/11/15,转板,0
3919.HK,金力集团,2017/11/10,转板,0
0170.HK,中国资本,2017/11/07,私有化,1
0963.HK,华熙生物科技,2017/11/02,私有化,1
1163_1.HK,德金资源,2017/10/27,被取消上市地位,0
1546.HK,德莱建业,2017/10/26,转板,0
2663.HK,应力控股,2017/10/24,转板,0
0319.HK,勤美达国际,2017/10/09,私有化,1
1709.HK,德林控股,2017/09/27,转板,0
3728.HK,正利控股,2017/09/18,转板,0
2168_1.HK,盈德气体,2017/08/21,私有化,1
0283.HK,高银地产,2017/08/18,私有化,1
1880_1.HK,百丽国际,2017/07/28,私有化,1
2203.HK,脑洞科技,2017/07/21,转板,0
0735_1.HK,中国电力新能源,2017/07/18,私有化,1
1826.HK,丰展控股,2017/07/10,转板,0
1631.HK,REF HOLDINGS,2017/06/20,转板,0
8058.HK,罗欣药业,2017/06/16,私有化,1
0549.HK,奇峰化纤,2017/06/16,私有化,1
8061.HK,光亚,2017/06/13,被取消上市地位,0
0804.HK,鼎石资本,2017/06/08,转板,0
1833_1.HK,银泰商业,2017/05/22,私有化,1
6033.HK,电讯数码控股,2017/05/10,转板,0
3668_1.HK,中铝矿业国际,2017/03/16,私有化,1
2293.HK,百本医护,2017/03/01,转板,0
0930.HK,中国森林,2017/02/24,被取消上市地位,0
8096_1.HK,瑞丰石化,2017/02/06,被取消上市地位,0
0839_1.HK,天大石油管材,2016/12/12,私有化,1
1968_1.HK,匹克体育,2016/11/03,私有化,1
1539.HK,知行集团控股,2016/10/26,转板,0
1768_1.HK,Bracell,2016/10/25,私有化,1
8017_1.HK,百龄国际,2016/10/19,被取消上市地位,0
1460.HK,扬科集团,2016/10/12,转板,0
1438.HK,富贵生命,2016/10/07,私有化,1
2618_1.HK,TCL 通讯,2016/10/03,私有化,1
0477.HK,奥普集团控股,2016/09/30,私有化,1
3699_1.HK,万达商业,2016/09/21,私有化,1
1885.HK,中国优材,2016/09/12,转板,0
1559.HK,均安控股,2016/08/15,转板,0
0917_1.HK,新世界中国,2016/08/04,私有化,1
0436.HK,新宇环保,2016/08/01,转板,0
3386.HK,东鹏控股,2016/06/23,私有化,1
3638.HK,亨利加集团,2016/03/30,转板,0
0773.HK,中国金属再生资源,2016/02/04,被取消上市地位,0
1025_1.HK,物美商业,2016/01/07,私有化,1
0350.HK,经纬纺织机械股份,2015/12/29,私有化,1
0932.HK,顺腾国际控股,2015/11/20,转板,0
1389.HK,美捷汇控股,2015/10/30,转板,0
2266_1.HK,帝盛酒店集团,2015/10/19,私有化,1
2086.HK,高维科技,2015/09/29,转板,0
8253.HK,天元铝业,2015/09/10,被取消上市地位,0
0863.HK,OSL集团,2015/09/08,转板,0
1483.HK,网誉科技,2015/08/31,转板,0
8010.HK,成报传媒,2015/08/18,被取消上市地位,0
3966.HK,中国宝丰国际,2015/08/05,转板,0
1486.HK,思城控股,2015/08/03,转板,0
0799.HK,IGG,2015/07/07,转板,0
6883_1.HK,新濠博亚娱乐,2015/07/06,私有化,1
6878.HK,鼎丰集团汽车,2015/07/06,转板,0
6108.HK,新锐医药,2015/06/16,转板,0
1390.HK,环亚智富,2015/06/04,私有化,1
0013_1.HK,和记黄埔,2015/06/03,私有化,1
1520.HK,天机控股,2015/06/01,转板,0
6199_1.HK,中国北车,2015/05/21,私有化,1
