jydm,jydm_mc,p02565_f001,p02565_f002,p02565_f003,p02565_f004,p02565_f009,p02565_f010,p02565_f011,p02565_f005,p02565_f006,p02565_f007,p02565_f008
0331_1.HK,华润万众电话,华润万众电话有限公司,China Resources Peoples Telephone Company Limited,2006/03/29,2004/04/01,私有化,--,--,香港九龙葵涌葵昌路8号万泰中心8楼,中国香港九龙葵涌葵昌路8号万泰中心8楼,--,--
1128_1.HK,镇海炼油化工股份,中国石化镇海炼油化工股份有限公司,Sinopec Zhenhai Refining & Chemical Company Limited,2006/03/24,1994/12/02,私有化,--,--,--,中环遮打道十号太子大厦十七楼,--,--
8020_1.HK,威伦堡,威伦堡控股有限公司,Wanasports Holdings Limited,2006/03/20,2001/12/11,被取消上市地位,--,"于二零零五年十一月二十四日,创业版上市委员会认为该份复牌建议书并不可行。因此,联交所认为公司于到期日未能呈交一份可行的复牌建议。根据创业板上市规则9.14条,由二零零六年三月二十日早上九时三十分起,联交所将撤消公司股份之上市地位。",开曼群岛,香港湾仔骆克道353号三湘大厦1901室,--,--
0540_1.HK,Thai-Asia F Ltd,The Thai-Asia Fund Ltd.,The Thai-Asia Fund Ltd.,2006/03/14,--,私有化,--,"继第三次及最后一次赎回所有余下投资单位及向股东分派相关特别股息后,公司作为一家投资公司将不再经营任何投资活动,因此,其将不再拥有任何商业性质业务。",开曼群岛,香港皇后大道东一号太古广场三座二十八楼,--,--
0502.HK,环新国际,环新国际有限公司,Pan Sino International Holding Limited,2006/03/01,2003/12/02,转板,3.792000000,--,开曼群岛,香港湾仔庄士敦道181号大有大厦16楼1613室,食物饮品,--
0301_1.HK,新世界信息科技,新世界信息科技有限公司,New World TMT Limited,2006/02/21,--,私有化,--,--,开曼群岛,香港皇后大道中18号新世界大厦第1期20楼2008,--,--
0543_1.HK,Thaiasset F Pre,The Thai Asset Fund Ltd.,The Thai Asset Fund Ltd.,2006/02/01,--,私有化,--,"现在所有投资单位及所有余下股份已被赎回,公司作为一家投资公司不再经营任何投资活动,因此,其将不再拥有任何商业性质业务。此外,公司不再有任何股份于联交所上市。",耿济岛,香港皇后大道东一号太古广场三座三十二楼,--,--
0368_1.HK,吉林化学工业股份,吉林化学工业股份有限公司,Jilin Chemical Industrial Company Limited,2006/01/23,--,私有化,--,--,吉林省吉林市龙潭区龙潭大街9号,吉林省吉林市龙潭区龙潭大街9号,--,--
8023_1.HK,恒基数码,恒基数码科技有限公司,Henderson Cyber Limited,2005/12/12,2000/07/14,私有化,--,--,开曼群岛,香港中环金融街8号国际金融中心二期72-76楼,--,--
8132_1.HK,百江燃气控股,百江燃气控股有限公司,Panva Gas Holdings Limited,2005/12/08,2001/04/20,--,--,--,开曼群岛,香港德辅道中199号维德广场28楼,--,--
