ipo_id,stock_code,concept_id,concept_name,data_date
HK_2465_HK_2024,2465.HK,011007_308974,比亚迪概念[HK],2026-05-09
HK_2465_HK_2024,2465.HK,011007_309176,固态电池[HK],2026-05-09
HK_2469_HK_2023,2469.HK,011007_305958,教育服务[HK],2026-05-09
HK_2469_HK_2023,2469.HK,011007_309186,DeepSeek概念[HK],2026-05-09
HK_2476_HK_2026,2476.HK,011007_301740,次新股[HK],2026-05-09
HK_2493_HK_2026,2493.HK,011007_301740,次新股[HK],2026-05-09
HK_2498_HK_2024,2498.HK,011007_305874,无人驾驶[HK],2026-05-09
HK_2498_HK_2024,2498.HK,011007_308974,比亚迪概念[HK],2026-05-09
HK_2506_HK_2024,2506.HK,011007_301989,智能医疗[HK],2026-05-09
HK_2506_HK_2024,2506.HK,011007_305848,人工智能[HK],2026-05-09
HK_2508_HK_2025,2508.HK,011007_301740,次新股[HK],2026-05-09
HK_2510_HK_2024,2510.HK,011007_301763,物流[HK],2026-05-09
HK_2513_HK_2026,2513.HK,011007_301740,次新股[HK],2026-05-09
HK_2513_HK_2026,2513.HK,011007_305848,人工智能[HK],2026-05-09
HK_2513_HK_2026,2513.HK,011007_309047,AIGC概念[HK],2026-05-09
HK_2517_HK_2023,2517.HK,011007_306256,零售股[HK],2026-05-09
HK_2517_HK_2023,2517.HK,011007_308392,知名公司[HK],2026-05-09
HK_2525_HK_2025,2525.HK,011007_301740,次新股[HK],2026-05-09
HK_2526_HK_2026,2526.HK,011007_301740,次新股[HK],2026-05-09
HK_2533_HK_2024,2533.HK,011007_305874,无人驾驶[HK],2026-05-09
