ipo_id,stock_code,source,l1_name,l2_name,l3_name,l4_name,leaf_bid,leaf_level,data_date
HK_2715_HK_2026,2715.HK,sw,机械设备,自动化设备,机器人,,011008023005001,5,2026-05-09
HK_2715_HK_2026,2715.HK,ths_global,工业,资本品,机械制造,工业机械和用品及零部件,011003003001013030,6,2026-05-09
HK_2718_HK_2025,2718.HK,ths_global,信息技术,软件与服务,信息技术服务,信息科技咨询与其它服务,011003008001056139,6,2026-05-09
HK_2720_HK_2026,2720.HK,ths_global,非日常生活消费品,耐用消费品与服装,休闲设备与用品,消闲用品,011003004002025059,6,2026-05-09
HK_2726_HK_2026,2726.HK,ths_global,信息技术,半导体产品与设备Ⅱ,半导体产品与设备Ⅲ,半导体产品,011003008003063156,6,2026-05-09
HK_2729_HK_2026,2729.HK,ths_global,信息技术,技术硬件与设备,电子设备、仪器和元件,电子设备和仪器,011003008002060148,6,2026-05-09
HK_2768_HK_2026,2768.HK,sw,基础化工,塑料,改性塑料,,011008002004002,5,2026-05-09
HK_2768_HK_2026,2768.HK,ths_global,原材料,原材料Ⅱ,化学制品,商品化工,011003002001003008,6,2026-05-09
HK_2788_HK_2025,2788.HK,sw,有色金属,工业金属,铝,,011008004002001,5,2026-05-09
HK_2788_HK_2025,2788.HK,ths_global,原材料,原材料Ⅱ,金属与采矿,铝,011003002001006016,6,2026-05-09
HK_2865_HK_2025,2865.HK,sw,电力设备,光伏设备,光伏电池组件,,011008022003002,5,2026-05-09
HK_2865_HK_2025,2865.HK,ths_global,信息技术,技术硬件与设备,电子设备、仪器和元件,电子元件,011003008002060149,6,2026-05-09
HK_2881_HK_2024,2881.HK,ths_global,原材料,原材料Ⅱ,化学制品,多种化学制品,011003002001003009,6,2026-05-09
HK_2889_HK_2025,2889.HK,sw,计算机,软件开发,垂直应用软件,,011008025003001,5,2026-05-09
HK_2889_HK_2025,2889.HK,ths_global,信息技术,软件与服务,信息技术服务,信息科技咨询与其它服务,011003008001056139,6,2026-05-09
HK_2898_HK_2024,2898.HK,ths_global,医疗保健,制药、生物科技和生命科学,制药Ⅲ,制药Ⅳ,011003006002044107,6,2026-05-09
HK_3200_HK_2026,3200.HK,sw,机械设备,专用设备,其他专用设备,,011008023002006,5,2026-05-09
HK_3200_HK_2026,3200.HK,ths_global,信息技术,技术硬件与设备,电子设备、仪器和元件,电子元件,011003008002060149,6,2026-05-09
HK_3268_HK_2026,3268.HK,sw,通信,通信设备,通信终端及配件,,011008027002003,5,2026-05-09
HK_3268_HK_2026,3268.HK,ths_global,信息技术,技术硬件与设备,通信设备Ⅲ,通信设备Ⅳ,011003008002058145,6,2026-05-09
HK_3277_HK_2026,3277.HK,ths_global,信息技术,技术硬件与设备,电子设备、仪器和元件,电子元件,011003008002060149,6,2026-05-09
HK_3288_HK_2025,3288.HK,sw,食品饮料,调味发酵品Ⅱ,调味发酵品Ⅲ,,011008008006001,5,2026-05-09
HK_3288_HK_2025,3288.HK,ths_global,日常消费品,食品、饮料与烟草,食品,包装食品与肉类,011003005002036095,6,2026-05-09
HK_3296_HK_2026,3296.HK,sw,电子,消费电子,消费电子零部件及组装,,011008005005002,5,2026-05-09
HK_3296_HK_2026,3296.HK,ths_global,信息技术,软件与服务,信息技术服务,互联网服务和基础设施,011003008001056141,6,2026-05-09
HK_3317_HK_2025,3317.HK,sw,计算机,软件开发,垂直应用软件,,011008025003001,5,2026-05-09
HK_3317_HK_2025,3317.HK,ths_global,信息技术,软件与服务,信息技术服务,互联网服务和基础设施,011003008001056141,6,2026-05-09
HK_3355_HK_2026,3355.HK,ths_global,信息技术,软件与服务,信息技术服务,互联网服务和基础设施,011003008001056141,6,2026-05-09
HK_3378_HK_2025,3378.HK,ths_global,医疗保健,制药、生物科技和生命科学,生物科技Ⅲ,生物科技Ⅳ,011003006002043106,6,2026-05-09
HK_3625_HK_2026,3625.HK,ths_global,信息技术,半导体产品与设备Ⅱ,半导体产品与设备Ⅲ,半导体产品,011003008003063156,6,2026-05-09
HK_3636_HK_2026,3636.HK,sw,商贸零售,贸易Ⅱ,贸易Ⅲ,,011008015001001,5,2026-05-09
HK_3636_HK_2026,3636.HK,ths_global,原材料,原材料Ⅱ,金属与采矿,铜,011003002001006021,6,2026-05-09
